S. No.,Emp ID,BU,Current Grade,Current Band Equivalence,Designation,Unique Job,Hay Score,Job Family/ Function mapping (as per finalised list) ,Sub Job Family,Department Group,Department,AA Emp. Code,Functional Emp. Code,Current CTC (in lakhs)
412,AB423,HO,M6,L7,Senior Executive,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB399,AB404,8.50
413,AB424,HO,M6,L7,Senior Executive,Draftsmen,199,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB414,AB414,7.30
414,AB425,HO,M5,L7,Assistant Manager,Analytical Chemist,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB409,AB409,12.71
415,AB426,HO,M6,L7,Senior Executive,Analytical Chemist,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB360,AB360,9.06
416,AB427,HO,M6,L7,Senior Executive,Analytical Chemist,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB360,AB360,6.50
417,AB428,HO,M6,L7,Senior Executive,Analytical Chemist,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB360,AB360,8.92
419,AB430,HO,M5,L7,Assistant Manager,Analytical Chemist,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB360,AB360,9.60
426,AB437,HO,M5,L7,Assistant Manager,Software Developer,252,IT Services,IT Software,IT Services,IT Services,AB435,AB435,7.72
427,AB438,HO,M6,L7,Senior Executive,Software Developer,252,IT Services,IT Software,IT Services,IT Services,AB435,AB444,5.00
431,AB442,HO,M6,L7,Senior Executive,IT Commercial Executive,240,IT Services,IT Infrastructure,IT Services,IT Services,AB436,AB436,8.80
432,AB443,HO,M6,L7,Senior Executive,IT Infrastructure Engineer,323,IT Services,IT Infrastructure,IT Services,IT Services,AB436,AB436,5.23
436,AB447,HO,M6,L7,Senior Executive,ERP Functional,252,IT Services,IT Software,IT Services,IT Services,AB435,AB435,7.60
443,AB454,HO,M6,L7,Senior Executive,Executive-Legal & Secretarial,301,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,AB456,AB456,13.68
444,AB455,HO,M6,L7,Senior Executive,Executive-Legal & Secretarial,301,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,Legal & Secretarial,AB456,AB456,10.48
448,AB459,BU-A,M6,L7,Senior Executive,Customer Support Executive,252,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB458,AB480,7.60
450,AB461,BU-A,M5,L7,Assistant Manager,Sales Manager - BU-A,421,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB480,AB480,15.63
454,AB465,BU-C,M5,L7,Assistant Manager,Sales Manager-BU-C,344,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB476,AB476,8.17
463,AB474,BU-A,M6,L7,Senior Executive,Product Manager- BU-A,381,Marketing & Product Management,Product Management,Marketing/ BD/ Product Management,Product Management,AB480,AB480,8.83
473,AB484,BU-A,M6,L7,Senior Executive,Customer Support Executive,252,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB480,AB480,7.96
475,AB486,BU-C,M5,L7,Assistant Manager,Customer Support Executive,252,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB476,AB476,10.07
476,AB487,BU-C,M6,L7,Senior Executive,Customer Support Executive,252,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB476,AB476,4.78
477,AB488,BU-C,M6,L7,Senior Executive,Customer Support Executive,252,Marketing & Product Management,Sales & Marketing,Marketing/ BD/ Product Management,Sales & Marketing,AB476,AB476,7.59
488,AB499,BU-A,M6,L7,Senior Executive ,Executive- Environment,240,Operational Excellence,Environment,Operational Excellence,Environment,AB498,AB498,6.38
490,AB501,BU-A,M5,L7,Assistant Manager,Section In-charge- Technical Services ,323,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,12.99
491,AB502,BU-A,M5,L7,Assistant Manager,Section In-charge- Technical Services ,323,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,9.60
492,AB503,BU-A,M5,L7,Assistant Manager,Section In-charge- Technical Services ,323,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,13.6
493,AB504,BU-A,M6,L7,Senior Executive,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,4.76
494,AB505,BU-A,M6,L7,Senior Executive,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,6.34
495,AB506,BU-A,M6,L7,Senior Executive,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,5.23
502,AB513,BU-A,M6,L7,Senior Executive,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,8.00
506,AB517,BU-A,M6,L7,Senior Executive,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,8.05
507,AB518,BU-A,M6,L7,Senior Executive,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,5.80
508,AB519,BU-A,M6,L7,Senior Executive,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,10.00
509,AB520,BU-A,M6,L7,Senior Executive,Executive- Safety & Health,240,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB521,AB521,5.50
512,AB523,BU-A,M6,L7,SHE,Executive- Safety & Health,240,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB521,AB521,7.9
513,AB524,BU-A,M6,L7,Plant Technical Services,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,9.00
514,AB525,BU-C,M5,L7,Assistant Manager,Executive- Safety & Health,240,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB534,AB534,12.2
516,AB527,BU-C,M5,L7,Assistant Manager,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB528,AB966,7.41
527,AB538,BU-C,M5,L7,Assistant Manager,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB528,AB966,7.00
532,AB543,BU-B,M5,L7,Assistant Manager,Site Lead-Technical services,466,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB975,AB338,12.93
534,AB545,BU-B,M5,L7,Assistant Manager,Site Lead-Safety & Health - BU-B,333,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB975,AB975,9.71
539,AB550,BU-B,M5,L7,Assistant Manager,Executive- Safety & Health,240,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB1209,AB1209,10.61
540,AB551,BU-B,M5,L7,Assistant Manager,Executive- Safety & Health,240,Operational Excellence,Safety & Health,Operational Excellence,Safety & Health,AB1209,AB1209,11.44
541,AB552,BU-B,M6,L7,Senior Executive,Executive- Environment,240,Operational Excellence,Environment,Operational Excellence,"Safety, Health, Environment",AB259,AB259,10.30
542,AB553,BU-B,M6,L7,Senior Executive,Executive- Environment,240,Operational Excellence,Environment,Operational Excellence,Environment,AB259,AB259,8.36
545,AB556,BU-B,M6,L7,Sr. Executive,Executive- Environment,240,Operational Excellence,Environment,Operational Excellence,Environment,AB259,AB259,8.34
559,AB570,HO,M6,L7,Senior Executive,Executive- Environment,240,Operational Excellence,Environment,Operational Excellence,Environment,AB569,AB569,7.21
560,AB571,HO,M6,L7,Senior Executive,Executive- Environment,240,Operational Excellence,Environment,Operational Excellence,Environment,AB569,AB569,8.71
565,AB576,BU-C,M6,L7,Senior Executive,Technical Services Executive,247,Operational Excellence,Technical Services,Operational Excellence,Technical Services,AB497,AB497,5.9
568,AB579,BU-A,M5,L7,Assistant Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB019,AB019,12.16
569,AB580,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB586,AB019,6.19
570,AB581,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB586,AB019,12.78
572,AB583,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB582,AB019,7.97
573,AB584,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB582,AB019,7.48
574,AB585,BU-A,M6,L7,Senior Executive ,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB582,AB019,7.47
576,AB587,BU-A,M6,L7,Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB622,AB019,11.97
577,AB588,BU-A,M5,L7,Assistant Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB019,AB019,7.28
580,AB591,BU-A,M6,L7,Senior Executive,Field Officer,195,Operations,Operations,Operations,Operations,AB602,AB019,6.27
581,AB592,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB602,AB019,6.18
582,AB593,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB867,AB019,7.45
583,AB594,BU-A,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB867,AB019,6.68
584,AB595,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB602,AB019,5.98
585,AB596,BU-A,M5,L7,Assistant Manager,Field Officer,195,Operations,Operations,Operations,Operations,AB602,AB019,13.58
586,AB597,BU-A,M5,L7,Assistant Manager,Field Officer,195,Operations,Operations,Operations,Operations,AB602,AB019,11.86
587,AB598,BU-A,M6,L7,Senior Executive,Shift Officer Production,195,Operations,Production,Operations,Operations,AB602,AB019,10.1
588,AB599,BU-A,M6,L7,Senior Executive,Shift Officer Production,195,Operations,Production,Operations,Operations,AB602,AB019,11.82
589,AB600,BU-A,M6,L7,Senior Executive,Shift Officer Production,195,Operations,Production,Operations,Operations,AB602,AB019,10.81
590,AB601,BU-A,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB602,AB019,7.07
591,AB602,BU-A,M5,L7,Assistant Manager ,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB020,AB019,8.41
592,AB603,BU-A,M6,L7,Senior Executive,Field Officer,195,Operations,Operations,Operations,Operations,AB021,AB019,5.27
593,AB604,BU-A,M5,L7,Assistant Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB021,AB019,8.31
594,AB605,BU-A,M6,L7,Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB019,11.65
595,AB606,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB019,9.91
596,AB607,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB019,10.94
597,AB608,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB019,9.6
598,AB609,BU-A,M5,L7,Assistant Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB021,AB019,12.0
599,AB610,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB019,8.9
600,AB611,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB019,7.91
601,AB612,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB019,7.10
602,AB613,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB019,6.43
603,AB614,BU-A,M6,L7,Senior Executive,Technical Assistant,247,Operations,Technical Assistance,Operations,Operations,AB577,AB577,8.08
606,AB617,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB622,AB019,5.93
611,AB622,BU-A,M5,L7,Assistant Manager ,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB019,AB019,8.45
652,AB663,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB582,AB019,8.97
682,AB693,BU-A,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB622,AB019,5.28
691,AB702,BU-A,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB602,AB020,5.68
692,AB703,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB867,AB020,5.82
711,AB722,BU-A,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB867,AB020,5.80
717,AB728,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB602,AB020,6.41
728,AB739,BU-A,M6,L7,Senior Executive ,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB602,AB020,6.50
739,AB750,BU-A,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB021,7.67
752,AB763,BU-A,M6,L7,Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB021,AB021,7.53
841,AB852,BU-A,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB021,AB021,6.30
846,AB857,BU-A,M6,L7,Executive,Shift Officer Production,195,Operations,Production,Operations,Operations,AB602,AB020,5.95
855,AB866,BU-A,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB622,AB019,8.16
872,AB883,BU-C,M6,L7,Senior Executive,Shift Officer Production,195,Operations,Production,Operations,Operations,AB025,AB925,10.44
873,AB884,BU-C,M5,L7,Assistant Manager,Shift Officer Production,195,Operations,Production,Operations,Operations,AB025,AB925,11.16
874,AB885,BU-C,M6,L7,Senior Executive,Shift Officer Production,195,Operations,Production,Operations,Operations,AB025,AB925,10.45
875,AB886,BU-C,M5,L7,Assistant Manager,Production Planner,247,Operations,Production Planning,Operations,Operations,AB025,AB925,6.20
876,AB887,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB025,AB925,10.10
877,AB888,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB025,AB925,11.97
878,AB889,BU-C,M6,L7,Senior Executive,Shift Officer Production,195,Operations,Production,Operations,Operations,AB025,AB925,5.60
881,AB892,BU-C,M6,L7,Senior Executive,Shift Officer Production,195,Operations,Production,Operations,Operations,AB025,AB925,6.39
884,AB895,BU-B,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB023,AB966,10.16
885,AB896,BU-B,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB023,AB966,8.49
886,AB897,BU-B,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB023,AB966,7.11
887,AB898,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB023,AB966,10.62
889,AB900,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB025,AB925,10.72
890,AB901,BU-B,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB023,AB966,7.92
891,AB902,BU-C,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB022,AB925,6.09
905,AB916,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB025,AB925,10.06
907,AB918,BU-C,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB025,AB925,5.88
910,AB921,BU-C,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB025,AB925,6.55
920,AB931,BU-C,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB025,AB925,6.23
922,AB933,BU-B,M6,L7,Senior Executive,Panel Officer,211,Operations,Operations,Operations,Operations,AB023,AB966,6.66
924,AB935,BU-B,M6,L7,Senior Executive,Shift Officer Production,195,Operations,Production,Operations,Operations,AB023,AB966,5.21
940,AB951,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB023,AB966,6.15
944,AB955,BU-C,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB025,AB925,5.99
949,AB960,BU-C,M5,L7,Assistant Manager,Shift Officer Production,195,Operations,Production,Operations,Operations,AB025,AB925,6.00
950,AB961,BU-C,M5,L7,Assistant Manager,Shift Officer Production,195,Operations,Production,Operations,Operations,AB025,AB925,7.00
954,AB965,BU-C,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB025,AB925,8.80
959,AB970,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB983,AB983,10.41
960,AB971,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB983,AB983,10.68
961,AB972,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB983,AB983,9.60
962,AB973,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB983,AB983,11.74
967,AB978,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB983,AB983,12.31
972,AB983,BU-B,M5,L7,Assistant Manager,Section Incharge - Production,353,Operations,Operations,Operations,Operations,AB975,AB975,9.30
982,AB993,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB997,AB992,15.90
984,AB995,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB994,AB992,12.24
985,AB996,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB994,AB992,6.85
987,AB998,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB997,AB992,11.25
988,AB999,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB997,AB992,9.35
989,AB1000,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB997,AB992,7.10
992,AB1003,BU-C,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB1002,AB992,9.22
993,AB1004,BU-C,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB1002,AB992,4.37
"1,030",AB1041,HO,M6,L7,Senior Executive,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB413,AB413,5.17
"1,033",AB1044,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB012,AB012,12.35
"1,034",AB1045,HO,M6,L7,Senior Executive,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB412,AB412,5.17
"1,035",AB1046,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB012,AB012,8.88
"1,036",AB1047,HO,M5,L7,Assistant Manager,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB413,AB413,15.75
"1,037",AB1048,BU-B,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB013,AB013,10.67
"1,038",AB1049,BU-B,M6,L7,Sr. Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB013,AB013,8.71
"1,039",AB1050,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB014,AB014,11.66
"1,040",AB1051,HO,M5,L7,Assistant Manager,Engineer- Process Engineering,247,Innovation & Technology,Process Engineering,Innovation & Technology,Process Engineering,AB412,AB399,7.80
"1,041",AB1052,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB017,AB017,8.36
"1,042",AB1053,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB017,AB017,8.83
"1,043",AB1054,BU-B,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB017,AB017,10.09
"1,044",AB1055,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB014,AB014,10.94
"1,045",AB1056,BU-B,M5,L7,Assistant Manager,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB015,AB015,12.76
"1,046",AB1057,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB015,AB015,9.91
"1,047",AB1058,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB015,AB015,10.60
"1,048",AB1059,HO,M6,L7,#N/A,Analytical Chemist,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB360,AB360,6.77
"1,049",AB1060,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB013,AB013,9.62
"1,050",AB1061,HO,M5,L7,#N/A,Team Leader-R&D-Piloting & Process Engineering,451,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB357,AB357,13.84
"1,051",AB1062,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB016,AB016,9.2
"1,052",AB1063,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB012,AB012,8.8
"1,053",AB1064,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB016,AB016,9.1
"1,054",AB1065,HO,M6,L7,Senior Executive,Analytical Chemist,245,Innovation & Technology,Research & Development,Innovation & Technology,Research & Development,AB425,AB425,10.6
"1,057",AB1068,BU-B,M6,L7,Senior Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB012,AB012,4.0
"1,067",AB1078,BU-B,M6,L7,Sr. Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB015,AB015,3.2
"1,078",AB1089,BU-B,M6,L7,Sr. Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB016,AB016,2.9
"1,084",AB1095,BU-B,M6,L7,Sr. Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB018,AB018,8.0
"1,085",AB1096,BU-B,M6,L7,Sr. Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB018,AB018,5.4
"1,086",AB1097,BU-B,M6,L7,Sr. Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB018,AB018,4.5
"1,099",AB1110,BU-B,M6,L7,Sr. Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB018,AB018,2.5
"1,100",AB1111,BU-B,M6,L7,Sr. Executive,Shift Incharge - Production,261,Operations,Operations,Operations,Operations,AB013,AB013,6.5
"1,113",AB1124,BU-A,M5,L7,Assistant Manager,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1122,AB1122,10.8
"1,114",AB1125,BU-A,M5,L7,Assistant Manager,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1122,AB1122,11.3
"1,115",AB1126,BU-A,M6,L7,Senior Executive,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Assurance,AB1122,AB1122,9.0
"1,116",AB1127,BU-A,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1123,AB1123,10.1
"1,117",AB1128,BU-A,M6,L7,Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1124,AB1124,10.64
"1,118",AB1129,BU-A,M6,L7,Executive ,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1124,AB1124,10.47
"1,119",AB1130,BU-A,M6,L7,Executive,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Assurance,AB1122,AB1122,7.49
"1,120",AB1131,BU-A,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1124,AB1124,9.55
"1,121",AB1132,BU-A,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1123,AB1123,7.18
"1,124",AB1135,BU-A,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1123,AB1123,9.38
"1,126",AB1137,BU-A,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1123,AB1123,7.94
"1,145",AB1156,BU-C,M5,L7,Assistant Manager,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1168,AB966,18.47
"1,148",AB1159,BU-B,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1168,AB966,8.62
"1,149",AB1160,BU-C,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1168,AB966,8.2
"1,151",AB1162,BU-B,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1168,AB966,7.6
"1,152",AB1163,BU-C,M5,L7,Assistant Manager,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Assurance,AB1168,AB966,13.41
"1,153",AB1164,BU-C,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1168,AB966,6.51
"1,158",AB1169,BU-C,M5,L7,Assistant Manager,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Control,AB1168,AB966,10.13
"1,159",AB1170,BU-C,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Assurance,AB1168,AB966,10.10
"1,162",AB1173,BU-B,M5,L7,Assistant Manager,Shift In-charge-QA/ QC,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1174,AB1174,13.27
"1,164",AB1175,BU-B,M6,L7,Senior Executive,Shift In-charge-QA/ QC,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1174,AB1174,8.44
"1,166",AB1177,BU-B,M6,L7,Senior Executive,Shift In-charge-QA/ QC,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1174,AB1174,5.70
"1,168",AB1179,BU-B,M6,L7,Senior Executive,Shift In-charge-QA/ QC,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1174,AB1174,6.66
"1,173",AB1184,BU-C,M5,L7,Assistant Manager,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1182,AB991,7.85
"1,174",AB1185,BU-C,M5,L7,Assistant Manager,Section In-charge QA/ QC ,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1182,AB991,6.82
"1,182",AB1193,BU-B,M6,L7,Senior Executive,Shift Officer - QA/QC ,211,QA/QC,QA/QC,QA/QC,Quality Assurance,AB1194,AB1194,7.73
"1,184",AB1195,BU-B,M5,L7,Assistant Manager,Shift In-charge-QA/ QC,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1192,AB1192,11.25
"1,185",AB1196,BU-B,M5,L7,Assistant Manager,Shift In-charge-QA/ QC,252,QA/QC,QA/QC,QA/QC,Quality Control,AB1192,AB1192,11.23
